year,month,day,week_day
2019,1,1,martes
2019,1,5,sabado
2019,1,6,domingo
2019,1,7,lunes
2019,1,12,sabado
2019,1,13,domingo
2019,1,19,sabado
2019,1,20,domingo
2019,1,26,sabado
2019,1,27,domingo
2019,2,2,sabado
2019,2,3,domingo
2019,2,9,sabado
2019,2,10,domingo
2019,2,16,sabado
2019,2,17,domingo
2019,2,23,sabado
2019,2,24,domingo
2019,3,2,sabado
2019,3,3,domingo
2019,3,9,sabado
2019,3,10,domingo
2019,3,16,sabado
2019,3,17,domingo
2019,3,23,sabado
2019,3,24,domingo
2019,3,30,sabado
2019,3,31,domingo
2019,4,6,sabado
2019,4,7,domingo
2019,4,13,sabado
2019,4,14,domingo
2019,4,18,jueves
2019,4,19,viernes
2019,4,20,sabado
2019,4,21,domingo
2019,4,27,sabado
2019,4,28,domingo
2019,5,1,miercoles
2019,5,2,jueves
2019,5,4,sabado
2019,5,5,domingo
2019,5,11,sabado
2019,5,12,domingo
2019,5,15,miercoles
2019,5,18,sabado
2019,5,19,domingo
2019,5,25,sabado
2019,5,26,domingo
2019,6,1,sabado
2019,6,2,domingo
2019,6,8,sabado
2019,6,9,domingo
2019,6,15,sabado
2019,6,16,domingo
2019,6,22,sabado
2019,6,23,domingo
2019,6,29,sabado
2019,6,30,domingo
2019,7,6,sabado
2019,7,7,domingo
2019,7,13,sabado
2019,7,14,domingo
2019,7,20,sabado
2019,7,21,domingo
2019,7,27,sabado
2019,7,28,domingo
2019,8,3,sabado
2019,8,4,domingo
2019,8,10,sabado
2019,8,11,domingo
2019,8,15,jueves
2019,8,17,sabado
2019,8,18,domingo
2019,8,24,sabado
2019,8,25,domingo
2019,8,31,sabado
2019,9,1,domingo
2019,9,7,sabado
2019,9,8,domingo
2019,9,14,sabado
2019,9,15,domingo
2019,9,21,sabado
2019,9,22,domingo
2019,9,28,sabado
2019,9,29,domingo
2019,10,5,sabado
2019,10,6,domingo
2019,10,12,sabado
2019,10,13,domingo
2019,10,19,sabado
2019,10,20,domingo
2019,10,26,sabado
2019,10,27,domingo
2019,11,1,viernes
2019,11,2,sabado
2019,11,3,domingo
2019,11,9,sabado
2019,11,10,domingo
2019,11,16,sabado
2019,11,17,domingo
2019,11,23,sabado
2019,11,24,domingo
2019,11,30,sabado
2019,12,1,domingo
2019,12,6,viernes
2019,12,7,sabado
2019,12,8,domingo
2019,12,9,lunes
2019,12,14,sabado
2019,12,15,domingo
2019,12,21,sabado
2019,12,22,domingo
2019,12,25,miercoles
2019,12,28,sabado
2019,12,29,domingo
2020,1,1,miercoles
2020,1,4,sabado
2020,1,5,domingo
2020,1,6,lunes
2020,1,11,sabado
2020,1,12,domingo
2020,1,18,sabado
2020,1,19,domingo
2020,1,25,sabado
2020,1,26,domingo
2020,2,1,sabado
2020,2,2,domingo
2020,2,8,sabado
2020,2,9,domingo
2020,2,15,sabado
2020,2,16,domingo
2020,2,22,sabado
2020,2,23,domingo
2020,2,29,sabado
2020,3,1,domingo
2020,3,7,sabado
2020,3,8,domingo
2020,3,14,sabado
2020,3,15,domingo
2020,3,21,sabado
2020,3,22,domingo
2020,3,28,sabado
2020,3,29,domingo
2020,4,4,sabado
2020,4,5,domingo
2020,4,9,jueves
2020,4,10,viernes
2020,4,11,sabado
2020,4,12,domingo
2020,4,18,sabado
2020,4,19,domingo
2020,4,25,sabado
2020,4,26,domingo
2020,5,1,viernes
2020,5,2,sabado
2020,5,3,domingo
2020,5,9,sabado
2020,5,10,domingo
2020,5,15,viernes
2020,5,16,sabado
2020,5,17,domingo
2020,5,23,sabado
2020,5,24,domingo
2020,5,30,sabado
2020,5,31,domingo
2020,6,6,sabado
2020,6,7,domingo
2020,6,13,sabado
2020,6,14,domingo
2020,6,20,sabado
2020,6,21,domingo
2020,6,27,sabado
2020,6,28,domingo
2020,7,4,sabado
2020,7,5,domingo
2020,7,11,sabado
2020,7,12,domingo
2020,7,18,sabado
2020,7,19,domingo
2020,7,25,sabado
2020,7,26,domingo
2020,8,1,sabado
2020,8,2,domingo
2020,8,8,sabado
2020,8,9,domingo
2020,8,15,sabado
2020,8,16,domingo
2020,8,22,sabado
2020,8,23,domingo
2020,8,29,sabado
2020,8,30,domingo
2020,9,5,sabado
2020,9,6,domingo
2020,9,12,sabado
2020,9,13,domingo
2020,9,19,sabado
2020,9,20,domingo
2020,9,26,sabado
2020,9,27,domingo
2020,10,3,sabado
2020,10,4,domingo
2020,10,10,sabado
2020,10,11,domingo
2020,10,12,lunes
2020,10,17,sabado
2020,10,18,domingo
2020,10,24,sabado
2020,10,25,domingo
2020,10,31,sabado
2020,11,1,domingo
2020,11,2,lunes
2020,11,7,sabado
2020,11,8,domingo
